training_seed,term,random_draws,random_mean_accuracy,nonrecent_excess_cost_pp,raw_nonrecent_cost_pp,random_deletion_cost_pp,attnres_relative_gain_pp,absolute_ability_pp,draw_aggregate_min_pp,draw_aggregate_max_pp,draw_aggregate_sd_pp
1337,anaphor_agreement,5,66.46799999999999,3.0080000000000013,23.82,20.811999999999998,-1.7800000000000011,37.28,,,
1337,argument_structure,5,59.774,2.664,10.730000000000004,8.066000000000004,0.7800000000000011,17.840000000000003,,,
1337,binding,5,60.486000000000004,-0.35400000000000204,5.269999999999996,5.623999999999998,-2.3799999999999955,16.11,,,
1337,control_raising,5,56.592,1.9720000000000042,9.56000000000001,7.588000000000005,2.0700000000000074,14.180000000000007,,,
1337,determiner_noun_agreement,5,62.56,5.840000000000002,29.75,23.909999999999997,-0.07000000000000739,36.47,,,
1337,ellipsis,5,35.732,0.3320000000000022,32.76,32.428,-0.3100000000000023,18.159999999999997,,,
1337,filler_gap_dependency,5,61.964,1.7639999999999958,9.459999999999994,7.695999999999998,2.0900000000000034,19.659999999999997,,,
1337,irregular_forms,5,71.142,4.822000000000008,23.220000000000013,18.398000000000003,1.3599999999999994,39.540000000000006,,,
1337,island_effects,5,54.998000000000005,0.7380000000000024,0.13000000000000256,-0.6079999999999999,-1.0600000000000023,4.390000000000001,,,
1337,npi_licensing,5,43.772,1.4120000000000004,8.21,6.798,-9.100000000000001,0.5700000000000003,,,
1337,quantifiers,5,62.412,9.522,26.120000000000005,16.598000000000003,-3.9099999999999966,29.010000000000005,,,
1337,s-selection,5,71.048,1.4680000000000006,9.409999999999997,7.941999999999996,1.2099999999999937,28.989999999999995,,,
1337,subject_verb_agreement,5,51.98,1.4599999999999966,16.199999999999996,14.739999999999998,1.8499999999999943,16.72,,,
1338,anaphor_agreement,5,68.696,5.3960000000000035,24.61,19.213999999999995,0.0,37.91,,,
1338,argument_structure,5,59.93000000000001,3.5099999999999993,13.049999999999997,9.539999999999997,1.9000000000000057,19.47,,,
1338,binding,5,61.686,0.14599999999999938,7.229999999999997,7.083999999999998,1.5799999999999983,18.769999999999996,,,
1338,control_raising,5,57.42999999999999,1.2299999999999955,8.819999999999993,7.589999999999998,1.779999999999994,15.019999999999996,,,
